        Time / ns                o1 [pw]/real
----------------------------------------------------------------------
                       0                               0
              0.07021869                               0
              0.14043738                               0
              0.21065608                               0
              0.28087476                               0
              0.35109347                               0
              0.42131215                               0
              0.49153081                               0
              0.56174952                               0
              0.63196826                               0
              0.70218694                               0
              0.77240556                               0
              0.84262431                               0
              0.91284305                               0
              0.98306161                               0
               1.0532804                               0
                1.123499                               0
               1.1937178                               0
               1.2639365                               0
               1.3341551                               0
               1.4043739                               0
               1.4745926                               0
               1.5448111                               0
               1.6150299                               0
               1.6852486                               0
               1.7554673                               0
               1.8256861                               0
               1.8959048                               0
               1.9661232                               0
               2.0363419                               0
               2.1065607                               0
               2.1767795                               0
               2.2469981                               0
               2.3172169                               0
               2.3874357                               0
               2.4576542                               0
                2.527873                               0
               2.5980916                               0
               2.6683102                               0
                2.738529                               0
               2.8087478                               0
               2.8789663                               0
               2.9491851                               0
               3.0194039                               0
               3.0896223                               0
               3.1598411                               0
               3.2300599                               0
               3.3002784                               0
               3.3704972                               0
                3.440716                               0
               3.5109346                               0
               3.5811534                               0
               3.6513722                               0
               3.7215905                               0
               3.7918096                               0
               3.8620281                               0
               3.9322464                               0
               4.0024652                               0
               4.0726838                               0
               4.1429029                               0
               4.2131214                               0
               4.2833405                               0
                4.353559                               0
               4.4237776                               0
               4.4939961                               0
               4.5642147                               0
               4.6344337                               0
               4.7046523                               0
               4.7748713                               0
               4.8450894                               0
               4.9153085                               0
                4.985527                               0
               5.0557461                               0
               5.1259646                               0
               5.1961832                               0
               5.2664018                               0
               5.3366203                               0
               5.4068394                               0
               5.4770579                               0
                5.547277                               0
               5.6174955                               0
               5.6877136                               0
               5.7579327                               0
               5.8281512                               0
               5.8983703                               0
               5.9685888                               0
               6.0388079                               0
                6.109026                               0
               6.1792445                               0
               6.2494636                               0
               6.3196821                               0
               6.3899012                               0
               6.4601197                               0
               6.5303383                               0
               6.6005569                               0
               6.6707759                               0
               6.7409945                               0
                6.811213                               0
               6.8814321                               0
               6.9516501                               0
               7.0218692                               0
               7.0920877                               0
               7.1623068                               0
               7.2325253                               0
               7.3027444                               0
               7.3729625                               0
                7.443181                               0
               7.5133996                               0
               7.5836191                               0
               7.6538377                               0
               7.7240562                               0
               7.7942743                               0
               7.8644929                               0
               7.9347124                               0
               8.0049305                               0
               8.0751495                               0
               8.1453676                               0
               8.2155876                               0
               8.2858057                               0
               8.3560247                               0
               8.4262428                               0
               8.4964609                               0
               8.5666809                               0
                8.636899                               0
                8.707118                               0
               8.7773361                               0
               8.8475552                               0
               8.9177742                               0
               8.9879923                               0
               9.0582113                               0
               9.1284294                               0
               9.1986494                               0
               9.2688675                               0
               9.3390856                               0
               9.4093046                               0
               9.4795237                               0
               9.5497427                               0
               9.6199608                               0
               9.6901789                               0
               9.7603979                               0
                9.830617                               0
                9.900836                               0
               9.9710541                               0
               10.041273                               0
               10.111492                               0
                10.18171                               0
               10.251929                               0
               10.322147                               0
               10.392366                               0
               10.462585                               0
               10.532804                               0
               10.603023                               0
               10.673241                               0
                10.74346                               0
               10.813679                               0
               10.883898                               0
               10.954116                               0
               11.024334                               0
               11.094554                               0
               11.164772                               0
               11.234991                               0
               11.305209                               0
               11.375427                               0
               11.445647                               0
               11.515865                  9.9465797e-037
               11.586084                  5.2858577e-035
               11.656302                  1.3171297e-033
               11.726522                   2.809088e-032
               11.796741                   5.249802e-031
               11.866959                  8.6468063e-030
               11.937178                  1.2614413e-028
               12.007396                  1.6374867e-027
               12.077616                  1.8994151e-026
               12.147834                  1.9763846e-025
               12.218052                  1.8512678e-024
               12.288271                     1.5661e-023
               12.358489                  1.2000757e-022
               12.428709                  8.3524199e-022
               12.498927                  5.2930342e-021
               12.569146                  3.0610242e-020
               12.639364                   1.618808e-019
               12.709583                  7.8435515e-019
               12.779802                  3.4880047e-018
                12.85002                  1.4259202e-017
               12.920239                  5.3670893e-017
               12.990458                  1.8627986e-016
               13.060677                  5.9710291e-016
               13.130896                  1.7705797e-015
               13.201114                  4.8663008e-015
               13.271333                   1.242545e-014
               13.341552                  2.9562182e-014
               13.411771                  6.5785281e-014
               13.481989                  1.3760281e-013
               13.552207                  2.7222045e-013
               13.622426                  5.1311559e-013
               13.692645                  9.2901771e-013
               13.762864                  1.6283471e-012
               13.833082                  2.7805249e-012
                 13.9033                  4.6430529e-012
